"REPORT_PERIOD","S_INFO_WINDCODE","S_FA_GROSSMARGIN_TTM"
"20000630","000005.SZ",103176294.86
"20000630","000007.SZ",8715896
"20000630","000010.SZ",43559524.14
"20000630","000018.SZ",14026450.96
"20000630","000024.SZ",514627088.99
"20000630","000030.SZ",130280339.08
"20000630","000034.SZ",84721425.25
"20000630","000037.SZ",186158338.6
"20000630","000040.SZ",270570220.63
"20000630","000059.SZ",207944758.86
"20000630","000068.SZ",304394348.9
"20000630","000408.SZ",114436999.82
"20000630","000415.SZ",64061819.16
"20000630","000421.SZ",75021864.6
"20000630","000504.SZ",-43970680.73
"20000630","000505.SZ",-3849434.43
"20000630","000510.SZ",79262291.58
"20000630","000511.SZ",41340355.39
"20000630","000526.SZ",245495.54
"20000630","000557.SZ",179948570.57
"20000630","000587.SZ",80278936.16
"20000630","000590.SZ",130956843.03
"20000630","000591.SZ",81415036.82
"20000630","000606.SZ",28812260.77
"20000630","000609.SZ",61397388.85
"20000630","000611.SZ",56752105.9
"20000630","000615.SZ",85216459.24
"20000630","000617.SZ",42865845.47
"20000630","000622.SZ",59581149.11
"20000630","000626.SZ",54378924.45
"20000630","000629.SZ",1497197280
"20000630","000633.SZ",155416965.68
"20000630","000659.SZ",234187666.36
"20000630","000662.SZ",-4473269.65
"20000630","000667.SZ",15103072.52
"20000630","000670.SZ",149156072.57
"20000630","000676.SZ",54343250.9
"20000630","000677.SZ",69224702
"20000630","000691.SZ",-4498358.39
"20000630","000693.SZ",50531970.11
"20000630","000709.SZ",1206706688.89
"20000630","000711.SZ",21512455.02
"20000630","000717.SZ",327120754.84
"20000630","000790.SZ",56246326.76
"20000630","000795.SZ",69508031.79
"20000630","000799.SZ",296109190.13
"20000630","000813.SZ",129334268.53
"20000630","000815.SZ",51552871.85
"20000630","000820.SZ",65418308.48
"20000630","000826.SZ",46835721.19
"20000630","000831.SZ",92117169.55
"20000630","000838.SZ",5428108.44
"20000630","000856.SZ",149698019.12
"20000630","000863.SZ",59757400.34
"20000630","000889.SZ",167457185.44
"20000630","000892.SZ",64119479.15
"20000630","000893.SZ",36900626.58
"20000630","000910.SZ",95566630.29
"20000630","000912.SZ",488172075.4
"20000630","000913.SZ",571661882.7
"20000630","000927.SZ",961280411.87
"20000630","000933.SZ",192603429.76
"20000630","000962.SZ",208384722.38
"20000630","600005.SH",918991922.1
"20000630","600007.SH",251285967
"20000630","600053.SH",74102893.9
"20000630","600055.SH",73635370.4
"20000630","600068.SH",574011630.19
"20000630","600069.SH",30464954.27
"20000630","600071.SH",57919513.78
"20000630","600076.SH",168357613.91
"20000630","600090.SH",89686938.6
"20000630","600091.SH",134311087.27
"20000630","600093.SH",79117440.04
"20000630","600102.SH",684145053.57
"20000630","600110.SH",40316628.63
"20000630","600135.SH",298668811.35
"20000630","600136.SH",105694119.36
"20000630","600163.SH",192536439.09
"20000630","600179.SH",131511176.7
"20000630","600186.SH",328133383
"20000630","600201.SH",30215202.39
"20000630","600212.SH",129543762.91
"20000630","600217.SH",140648754.14
"20000630","600555.SH",196174637.01
"20000630","600601.SH",286086350.75
"20000630","600602.SH",883914113.95
"20000630","600603.SH",48553914.95
"20000630","600604.SH",21239120.68
"20000630","600605.SH",29922133.49
"20000630","600606.SH",85707717.37
"20000630","600607.SH",109292192.91
"20000630","600608.SH",19750295.34
"20000630","600609.SH",865824201.58
"20000630","600610.SH",14762338.89
"20000630","600611.SH",394383064.22
"20000630","600612.SH",182245148.3
"20000630","600613.SH",17272606.51
"20000630","600614.SH",31628739.92
"20000630","600615.SH",45507676.71
"20000630","600616.SH",73096680.81
"20000630","600617.SH",23076843.8
"20000630","600618.SH",471945737.14
"20000630","600619.SH",409427440.63
"20000630","600620.SH",80571653.09
"20000630","600621.SH",146304036.34
"20000630","600622.SH",35646937.23
"20000630","600623.SH",393845057.32
"20000630","600629.SH",5289725.01
"20000630","600632.SH",588750097.95
"20000630","600643.SH",94379587.14
"20000630","600644.SH",77115402.83
"20000630","600651.SH",38171994.29
"20000630","600652.SH",53390337.63
"20000630","600653.SH",235716410.73
"20000630","600654.SH",198537683.84
"20000630","600655.SH",510530915.69
"20000630","600656.SH",60752556.21
"20000630","600662.SH",221022463.01
"20000630","600669.SH",39077279.09
"20000630","600670.SH",4692589.37
"20000630","600672.SH",270621976.41
"20000630","600673.SH",25660719.15
"20000630","600675.SH",22313201.21
"20000630","600679.SH",59150144.71
"20000630","600681.SH",76716698.03
"20000630","600683.SH",112703.27
"20000630","600691.SH",18690854.67
"20000630","600700.SH",107381145.28
"20000630","600701.SH",146820216.74
"20000630","600704.SH",424662325.39
"20000630","600707.SH",266192771.7
"20000630","600708.SH",21617738.94
"20000630","600709.SH",799568271.78
"20000630","600713.SH",201232353.99
"20000630","600715.SH",1976488.63
"20000630","600721.SH",17673315
"20000630","600722.SH",293073485.41
"20000630","600725.SH",39654140.28
"20000630","600737.SH",144928611.07
"20000630","600752.SH",277137632.92
"20000630","600760.SH",76110498.52
"20000630","600777.SH",109571555.75
"20000630","600779.SH",427041349.48
"20000630","600783.SH",53787059
"20000630","600790.SH",236664465.74
"20000630","600793.SH",66536739.14
"20000630","600801.SH",170419259.14
"20000630","600802.SH",210477658.16
"20000630","600806.SH",14702457
"20000630","600813.SH",11848103.02
"20000630","600817.SH",54170134.85
"20000630","600828.SH",166051751.51
"20000630","600837.SH",37888593.35
"20000630","600848.SH",176705375.27
"20000630","600852.SH",71685495.93
"20000630","600856.SH",64433349.51
"20000630","600858.SH",12172269.82
"20000630","600861.SH",231064249.05
"20000630","600862.SH",28938687.88
"20000630","600866.SH",122900312.05
"20000630","600870.SH",387546531.13
"20000630","600878.SH",93423663.89
"20000630","600882.SH",69026172.85
"20000630","600891.SH",106978523.44
"20000630","600892.SH",10395551.47
"20000630","600896.SH",68668394.75
"20000630","600899.SH",39902573.95
"20001231","000005.SZ",84709693.76
"20001231","000007.SZ",4033204.77
"20001231","000010.SZ",49009704.11
"20001231","000018.SZ",17737778
"20001231","000024.SZ",537639291.16
"20001231","000030.SZ",107313391.33
"20001231","000034.SZ",50768151.42
"20001231","000037.SZ",147036900.1
"20001231","000040.SZ",160158771
"20001231","000059.SZ",131293759.86
"20001231","000068.SZ",451906236.1
"20001231","000408.SZ",109566859.61
"20001231","000415.SZ",81005629.61
"20001231","000421.SZ",81916180.97
"20001231","000504.SZ",78116.27
"20001231","000505.SZ",-2113144.23
"20001231","000510.SZ",137992527.2
"20001231","000511.SZ",121034336.84
"20001231","000526.SZ",24313629.13
"20001231","000557.SZ",30466884.39
"20001231","000587.SZ",94338624.18
"20001231","000590.SZ",143832287.86
"20001231","000591.SZ",102115971.38
"20001231","000606.SZ",35337560.41
"20001231","000609.SZ",58233939.53
"20001231","000611.SZ",60301224.29
"20001231","000615.SZ",67653176.93
"20001231","000617.SZ",43887475.34
"20001231","000622.SZ",59251321.31
"20001231","000626.SZ",82797632.61
"20001231","000629.SZ",1541100935
"20001231","000633.SZ",128019468.24
"20001231","000659.SZ",192555318.24
"20001231","000662.SZ",2370097.87
"20001231","000667.SZ",13095474.21
"20001231","000670.SZ",138682387.94
"20001231","000676.SZ",54062170.35
"20001231","000677.SZ",81502689.24
"20001231","000691.SZ",6072302.67
"20001231","000693.SZ",47411935.96
"20001231","000709.SZ",1445493776.94
"20001231","000711.SZ",54407441.3
"20001231","000717.SZ",349195096.6
"20001231","000790.SZ",70875486.81
"20001231","000795.SZ",56752046.3
"20001231","000799.SZ",215319552.79
"20001231","000813.SZ",89664987.41
"20001231","000815.SZ",59615659.52
"20001231","000820.SZ",79999883.83
"20001231","000826.SZ",21795534.23
"20001231","000831.SZ",109791140.89
"20001231","000838.SZ",68726.12
"20001231","000856.SZ",136590979.61
"20001231","000863.SZ",72568154.06
"20001231","000889.SZ",144360718.82
"20001231","000892.SZ",94537131.83
"20001231","000893.SZ",4291689.85
"20001231","000910.SZ",105700561.97
"20001231","000912.SZ",335784056.36
"20001231","000913.SZ",707266905.1
"20001231","000927.SZ",933872950.03
"20001231","000933.SZ",180342802.48
"20001231","000950.SZ",68162485.89
"20001231","000962.SZ",289462920.56
"20001231","000967.SZ",66678369.34
"20001231","000968.SZ",114808941.02
"20001231","000971.SZ",84418877.61
"20001231","000972.SZ",77789314.28
"20001231","000976.SZ",154637560.65
"20001231","000987.SZ",174593322.06
"20001231","600005.SH",980768639.94
"20001231","600007.SH",273099000
"20001231","600026.SH",686882308.15
"20001231","600053.SH",86336743.19
"20001231","600055.SH",101217796.17
"20001231","600068.SH",488282995.31
"20001231","600069.SH",22374446.36
"20001231","600071.SH",70074597.69
"20001231","600076.SH",174509020.85
"20001231","600090.SH",142368079.78
"20001231","600091.SH",150280488.6
"20001231","600093.SH",61766620.08
"20001231","600102.SH",861057743.37
"20001231","600110.SH",54515936.64
"20001231","600135.SH",338178902.75
"20001231","600136.SH",100043751.78
"20001231","600163.SH",213467039.53
"20001231","600179.SH",130364496.08
"20001231","600186.SH",366351971.91
"20001231","600201.SH",33332207.61
"20001231","600212.SH",133828439.15
"20001231","600217.SH",167116882.89
"20001231","600230.SH",57012611.08
"20001231","600233.SH",49977689.91
"20001231","600234.SH",72099988.2
"20001231","600242.SH",35436227.51
"20001231","600247.SH",48412040.84
"20001231","600265.SH",65594288.72
"20001231","600277.SH",70508188.55
"20001231","600292.SH",111018213.55
"20001231","600299.SH",84820375.35
"20001231","600306.SH",127277101.29
"20001231","600311.SH",94923885.51
"20001231","600318.SH",123954472.29
"20001231","600319.SH",128712988.71
"20001231","600331.SH",90951049.3
"20001231","600339.SH",86009661.11
"20001231","600346.SH",69210190.58
"20001231","600375.SH",37906527.9
"20001231","600381.SH",34416199.94
"20001231","600390.SH",53313660.16
"20001231","600393.SH",141876350.64
"20001231","600401.SH",14963186.14
"20001231","600408.SH",248975767.82
"20001231","600428.SH",116163360.32
"20001231","600432.SH",130458582.26
"20001231","600462.SH",96968666.55
"20001231","600509.SH",109806767.52
"20001231","600515.SH",84727832.66
"20001231","600520.SH",33217288.84
"20001231","600539.SH",81814109.11
"20001231","600546.SH",70243916.11
"20001231","600552.SH",40591301.63
"20001231","600555.SH",370836298.02
"20001231","600556.SH",46413380.79
"20001231","600566.SH",30205041.81
"20001231","600568.SH",45088235.71
"20001231","600576.SH",108478831.43
"20001231","600581.SH",413043725.1
"20001231","600601.SH",368057825.52
"20001231","600602.SH",886710692.87
"20001231","600603.SH",27816858.15
"20001231","600604.SH",37383125.13
"20001231","600605.SH",21993881.78
"20001231","600606.SH",108659800.22
"20001231","600607.SH",208486037.01
"20001231","600608.SH",45351696.14
"20001231","600609.SH",112473062.08
"20001231","600610.SH",46059509.18
"20001231","600611.SH",434137295.95
"20001231","600612.SH",185094724.69
"20001231","600613.SH",30437063.13
"20001231","600614.SH",27771502.26
"20001231","600615.SH",5519327.65
"20001231","600616.SH",96987158.26
"20001231","600617.SH",26397831.94
"20001231","600618.SH",500396171.62
"20001231","600619.SH",475989335.12
"20001231","600620.SH",70715573.78
"20001231","600621.SH",200682909.74
"20001231","600622.SH",29642869.96
"20001231","600623.SH",389357284.91
"20001231","600629.SH",3430299.12
"20001231","600632.SH",427437299.06
"20001231","600643.SH",73609713.88
"20001231","600644.SH",85323561.51
"20001231","600651.SH",101729968.49
"20001231","600652.SH",77249774.7
"20001231","600653.SH",430874716.33
"20001231","600654.SH",167565958.14
"20001231","600655.SH",515321510.18
"20001231","600656.SH",55011155.6
"20001231","600662.SH",220698628.67
"20001231","600669.SH",41105045.99
